title,author,year,cover_id,work_key,description,subjects
The psychology of money,Henry Clay Lindgren,1991.0,6694177.0,/works/OL2780331W,,"Psychological aspects of Money, Textbooks, Money, Psychology textbooks, Monnaie, Aspect psychologique, Psychologie, Geld, Psychological aspects, Humanities textbooks"
Psychology,"Carole Wade, Carol Tavris",1987.0,6807843.0,/works/OL15844725W,,"Textbooks, Psychologie, Psychology, Psicologia, Detective and mystery stories, Internet"
Introduction to Psychology,"Clifford Thomas Morgan, Richard A. King, John R. Wiesz, John Schopler",1956.0,9120645.0,/works/OL5098994W,"In this Seventh Edition this have attempted to bring readers up-to-date, an ongoing challenge in our rapidly changing discipline. psychology, like other areas of Knowledge, has its classic theories and studies which from the basis for the much current work. Students should Know about these, too, and we have not negelected them. there is no change, but there is continuity as well.","Psychology, Psychologie, Einführung"
Feminine Psychology,Karen Horney,1967.0,248756.0,/works/OL98942W,"""Because the role of woman as a contributing member of society comes increasingly under scrutiny, Karen Horney's thoughts and theories about feminine psychology are particularly relevant to our day. In this new collection of papers, many previously unavailable in English, Karen Horney brings to the subject of femininity both profound knowledge of women and dedicated skill as a therapist. As a psychoanalytic pioneer who trained at the Berlin Psychoanalytic Institute in the 1920's, Dr. Horney began to question certain of Freud's theories, especially his libido theory, which her own careful clinical observations seems to contradict. At the same time her reading in anthropology strengthened her feeling that an organism's behavior is determined culturally as well as biologically. A male-oriented, materialistic society, such as the one into which Freud was born, would evolve theories of separate male and female psychologies. In such a society a woman's outlook on life would appear to be determined by her envy of the male sex organ. According to Dr. Horney, what woman really envies are masculine attributes and the opportunities society offers more readily to men. In this book her discussion of such subjects as frigidity, the problem of monogamy, maternal conflicts, feminine masochism, and the neurotic need for love offers valuable insights into the problems confronting women today - the problesm taht they bring to psychiatrists, marriage counselors, and clergymen.""--Publisher's description.","Sex (psychology), Women, psychology, Women, Psychology, Textbooks, Sex Behavior, Psychology textbooks, Humanities textbooks, Sexual Behavior, Femmes, Sexe (Psychologie), Psychologie"
The Housemaid,Freida McFadden,2022.0,15105883.0,/works/OL27729743W,"Every day I clean the Winchesters' beautiful house top to bottom. I collect their daughter from school. And I cook a delicious meal for the whole family before heading up to eat alone in my tiny room on the top floor.

I try to ignore how Nina makes a mess just to watch me clean it up. How she tells strange lies about her own daughter. And how her husband Andrew seems more broken every day. But as I look into Andrew's handsome brown eyes, so full of pain, it's hard not to imagine what it would be like to live Nina's life. The walk-in closet, the fancy car, the perfect husband.

I only try on one of Nina's pristine white dresses once. Just to see what it's like. But she soon finds out... and by the time I realize my attic bedroom door only locks from the outside, it's far too late.

But I reassure myself: the Winchesters don't know who I really am.

They don't know what I'm capable of . . .","nyt:trade-fiction-paperback=2023-05-14, New York Times bestseller, Thriller, Mystery, Fiction, Mystery Thriller, Suspense, Crime, Psychological Thriller, Series:The-Housemaid, Contemporary, Romance, Fiction, thrillers, domestic, Fiction, thrillers, psychological, Fiction, thrillers, suspense"
The principles of psychology,William James,1890.0,5815742.0,/works/OL1502064W,"The Principles of Psychology is a monumental text in the history of psychology, written by William James and published in 1890. There were four methods in James' psychology: analysis (i.e. the logical criticism of precursor and contemporary views of the mind), introspection (i.e. the psychologist's study of his own states of mind), experiment (e.g. in hypnosis or neurology), and comparison (the use of statistical means to distinguish norms from anomalies).",Psychology
Games People Play,Eric Berne,1964.0,8281189.0,/works/OL1593567W,"Games People Play (1964) explores the fascinating and bizarre world of psychological games, where players unconsciously manipulate each other into acting in alienating and self-destructive ways.","Game theory, Interpersonal relations, Social interaction, Transactional analysis, Social Psychology, Interacción social, Psihoterapija, Social role, Sociale relaties, Psychologische aspecten, Transactionele analyse, Journalists, fiction, Balkan peninsula, fiction, Fiction, psychological, Fiction, political, Psychology, Interaction social, games, relationships, communication, interaction, personality, neurosis, intimacy, psychotherapy, Interpersonal relationships, Psychological aspects, Manners and customs"
Social psychology,"Robert A. Baron, Donn Erwin Byrne, Nyla R. Branscombe",1977.0,137851.0,/works/OL2661658W,,"Psychologie sociale, Einführung, Sozialpsychologie, Social psychology, Sociale psychologie, Philosophy, Political science, Communicatie, Psychology, Hm1033 .b35x 2004"
Dark Psychology 101 and Dark Psychology Secrets,Moneta Raye,2019.0,13234695.0,/works/OL30146102W,,
Psychology,Saundra K. Ciccarelli,2006.0,1110072.0,/works/OL5849524W,,"Psychology, Textbooks, Study and teaching, Examinations, questions"
Psychologische Typen,Carl Gustav Jung,1921.0,442955.0,/works/OL95107W,"Overview: The book is rich in material drawn from literature, aesthetics, religion, and philosophy. The extended chapters that give general descriptions of the types and definitions of Jung's principal psychological concepts are key documents in analytical psychology.","Psychoanalysis, Typology (Psychology), Characters and characteristics, Individuality, Personality, Typologie (Psychologie), Individuation (Philosophy), Psychology, Psychanalyse, Typology (Psychology of), Persoonlijkheidsontwikkeling, Persoonlijkheid, Introversie, Extraversie, Psychoanalytic Theory, Personnalité, FAMILY & RELATIONSHIPS, Life Stages, Developmental, Lifespan Development, Character, Painting, Bibliography"
Psychology principles in practice,Spencer A. Rathus,1981.0,7046066.0,/works/OL2035732W,,"Psychology, Textbooks, Psychology textbooks, Humanities textbooks, Study and teaching (Secondary), Psychology &amp; psychiatry, General"
A Primer of Freudian Psychology,Calvin S. Hall,1954.0,296145.0,/works/OL1941879W,"The purpose of this primer is to present clearly, briefly, and systematically the psychological theories advanced by Sigmund Freud. Freud's contributions in the areas of abnormal psychology, psychopathology, psychotherapy, and psychiatry have been summarized by a number of writers, but his work as a psychological theorist in the area of general psychology has not been presented in a systematic and comprehensive form. The author contends that Freud's distinctive role in intellectual and scientific history is that of a psychological theorist. Freud himself regarded psychoanalysis primarily as a system of psychology and not merely a branch of abnormal psychology or psychiatry. He wanted to be remembered and identified chiefly as a psychologist. The author's purpose, then, in summarizing the psychology of Sigmund Freud is to rescue him from the domain of mental disorders and to restore him to his legitimate place within the province of normal psychology. It is argued that if Freud is permitted to remain an exclusive possession of a branch of medicine, not only will his fundamental theories be relegated to a subordinate position, but also psychology will be the loser for having ignored one of its most creative minds. (PsycINFO Database Record (c) 2005 APA, all rights reserved).","Psychoanalysis, Textbooks, Personnalité, Psychoanalyse, Psychology textbooks, Humanities textbooks, Personality, Psychanalyse, Psychology, Freud, sigmund, 1856-1939, Psychologie"
Developmental psychology,Elizabeth Bergner Hurlock,1953.0,7228372.0,/works/OL6564579W,"xiv, 395 p. 25 cm","Developmental psychology, Psychology, Psychologie génétique, Entwicklungspsychologie, Psychologie du développement, Ontwikkelingspsychologie, Einführung"
The Psychology of Money,"Michael Argyle, Adrian Furnham",2013.0,15137999.0,/works/OL27366295W,,
Publication Manual of the American Psycological Association,"American Psychological Association., American Psychological Association, AMERICAN PSYCHOLOGICAL ASSOCIATION, 6th Edition Publication Manual of the American Psychological Association, APA (2010)",1952.0,14302544.0,/works/OL3282884W,"The ""Publication Manual"" is the style manual of choice for writers, editors, students, and educators. Although it is specifically designed to help writers in the behavioral sciences and social sciences, anyone who writes non-fiction prose can benefit from its guidance. The newly-revised Sixth Edition has not only been rewritten. It has also been thoroughly rethought and reorganized, making it the most user-friendly ""Publication Manual"" the APA has ever produced. You will be able to find answers to your questions faster than ever before. When you need advice on how to present information, including text, data, and graphics, for publication in any type of format--such as college and university papers, professional journals, presentations for colleagues, and online publication--you will find the advice you're looking for in the ""Publication Manual.""","Technical writing, Communication in psychology, Documentacao, Psychology, Handbooks, manuals, Style manuals, Social science literature, Sciences sociales, Psychological literature, Guides, manuels, Édition, Publishing, Wetenschappelijke teksten, Communication en psychologie, Art d'écrire, Medical Journalism, Normalizacao em documentacao, Authorship, Documentation, Uitgeven, Writing, Rédaction technique, Psicologia, Psychologie, Social sciences, Richtlinie, Travailleurs, Wissenschaftliches Manuskript, Report writing, Printing, Schrijfvaardigheid, Wetenschappelijke publicaties, Norm, 77.09 methods and techniques in psychology: other, American Psychological Association, Wissenschaftlicher Text, Psychological literature - Publishing - Handbooks, manuals, Psychology textbooks, Textbooks, Humanities textbooks, Psychology - Authorship - Handbooks, Social science literature - Publishing - Handbooks, manuals, Bibliographical citations, Technique, HANDBOOKS, Satzanweisung, Edition_, Psychology, authorship, Social sciences, authorship, Richtlijnen, Forschungsbericht, Verhaltenswissenschaften, Veröffentlichung, Methode, Sozialwissenschaften, Wissenschaft, Wissenschaftliche Literatur, Bibliography, 02.13 practice of science, Pychologie, Standards, Social science literature -, Social sciences -, Publishing -, Psychology -, Psychological literature -, Authorship -, ÂEdition, Art d'âecrire, Manuskriptudformning, Wissenschaftliche Publikation, Literature, Writing skills, General interests & hobbies -> reference -> reference, Psychology--authorship, Psychology--authorship--style manuals, Social sciences--authorship, Social sciences--authorship--style manuals, Psychological literature--publishing, Psychological literature--publishing--handbooks, manuals, etc, Social science literature--publishing, Social science literature--publishing--handbooks, manuals, etc, Bf76.7 .p83 2020, 808.06615 p96, 2020, Psychology--authorship--handbooks, manuals, etc, Social sciences--authorship--handbooks, manuals, etc, Journalism, medical, Bf76.7 .p83 2001, Wz 345 p976 2001, 2001 n-022, 808/.06615"
Introduction to psychology,Rod Plotnik,1986.0,3736524.0,/works/OL1955834W,"Plotnik's Fourth Edition captures the excitement of the current research that is going on in the discipline, while still retaining the ""classic"" studies that are important to careful development of the subject matter. Plotnik adds coverage of new topics such as genetic research, repressed memory syndrome, and many others as well as updating research in every module. Plotnik has revised and updated his text page by page to increase the depth of coverage in key areas - without losing the student focus that made the book work so effectively in its previous edition. Each chapter's opening vignette serves to organize and tie information together as Plotnik moves through major concepts. Each of the module's key topics is covered ina one-, two-, or (very occassionally) four-page spread. By presenting information in these ""bite-sized"" chunks with fully integrated visuals, Plotnik makes the material more accessible to students and easier to recall.","Psychology, Textbooks, Psychology textbooks, Psychologie, Humanities textbooks, Nonfiction"
The Psychology of Everyday Things,Donald A. Norman,1988.0,10007224.0,/works/OL1879162W,"The Design of Everyday Things is a best-selling book by cognitive scientist and usability engineer Donald Norman about how design serves as the communication between object and user, and how to optimize that conduit of communication in order to make the experience of using the object pleasurable. One of the main premises of the book is that although people are often keen to blame themselves when objects appear to malfunction, it is not the fault of the user but rather the lack of intuitive guidance that should be present in the design.","Ergonomie, Industrial Psychology, Industriële vormgeving, Industrial Design, Psychological aspects, Psychology textbooks, Psychological aspects of Industrial design, Textbooks, Aspect psychologique, Design, Humanities textbooks, Projetos (administracao), Human engineering, Long Now Manual for Civilization, New York Times reviewed, Cognitive psychology, Livres numériques, Ergonomics, E-books, BUSINESS & ECONOMICS, Industries, Retailing, Product, PSYCHOLOGY, Applied Psychology, Electronic books, Industriell formgivning, Psykologiska aspekter, Industries / Retailing, Mechanical Engineering, Engineering & Applied Sciences, Industrial & Management Engineering, Nonfiction, Art, Business, Industrial design--psychological aspects, Psychology, industrial, Ts171.4 .n67 1990, Ts 171.4 n842p 1990, 620.8/2, Business & economics--industries--retailing, Psychology--applied psychology, Design--product, Industriell formgivning--psykologiska aspekter, Ts171.4 .n67 2013, 745.2019, 745.2001/9, Bus057000 psy003000 des011000, Cognitive science, Design, drafting, drawing & presentation, Lighting, Data modeling & design, Site design, Branding & logo design, Design & construction, Packaging, Decision-making & problem solving, Industrial management, Computer industry, Manufacturing, Knowledge capital, Leadership, Operations research, Organizational behavior, Skills, Workplace culture, Industrial & organizational psychology, Social psychology, Business & economics -> business -> industries, Professional, career & trade -> graphic arts/communications/design -> package design, Social sciences -> psychology -> applied psychology, Social sciences -> psychology -> cognitive psychology, Biological sciences & nutrition -> biology -> cognitive science, Professional, career & trade -> architecture -> design, drawing & presentation, Professional, career & trade -> architecture -> interiors & interior design, Professional, career & trade -> computer science -> data modeling & design, Professional, career & trade -> computer science -> internet & www, Professional, career & trade -> graphic arts/communications/design -> branding & logo design, General interests & hobbies -> house & home -> house & home, Trades & technology -> industrial design -> general, Business & economics -> management -> special topics, Business & economics -> decision sciences -> management science, Business & economics -> management -> leadership, Business & economics -> decision sciences -> production/operations management, Business & economics -> management -> organizational behavior, Business & economics -> business -> business studies, Business & economics -> business -> special topics, Social sciences -> psychology -> industrial & organizational psychology, Social sciences -> psychology -> social psychology"
